id,company,position,level,sphere,type,date_post,in_hours,appliers
1,Wolt,Data Analyst,Junior,technology,B2C,26.09.23,0.3,3
2,Stratasys,Marketing Data Analyst,Junior,manufacturing,B2B,26.09.23,0.4,276
3,Moonee,Data Analyst,Mid-Senior,technology,B2C,26.09.23,1,140
4,K4 Brands,Marketing Data Analyst,Junior,e-commerce,B2B,20.09.23,144,243
5,Revuze,Data Analyst,Mid-Senior,e-commerce,B2B,12.09.23,336,351
6,Holisto,Data Analyst,Senior,technology,B2C,12.09.23,336,147
7,Unity,BI Analyst,Mid-Senior,technology,"B2C, B2B",19.09.23,168,306
8,Buligo Capital,Analyst,Mid ,capital,"B2C, B2B",19.09.23,168,137
9,Loops,Data Analyst,Senior,technology,"B2C, B2B",26.08.23,744,193
10,Unity,Product Analyst,Senior,technology,"B2C, B2B",12.09.23,336,168
11,Peroptyx,Data Analyst,Junior,technology,B2B,23.09.23,72,126
12,EverC,Data Analyst,Mid-Senior,technology,B2B,19.09.23,168,73
13,Placer.ai,Data Analyst,Senior,technology,B2B,12.09.23,336,148
14,Lightricks,Data Analyst,Senior,technology,B2C,19.09.23,168,528
15,ICE,Data Analyst,Senior,capital,"B2C, B2B",19.09.23,168,125
16,Fireblocks,Data Analyst,Mid-Senior,technology,B2B,12.09.23,336,494
17,Join,Marketing Data Analyst,Senior,technology,B2C,05.09.23,504,116
18,Strategic Staffing Colutions,Data Analyst,Junior,consulting,B2B,20.09.23,120,200
19,HoneyBook,Marketing Data Analyst,Senior,technology,"B2C, B2B",19.09.23,168,122
20,Unity,Data Analyst,Senior,technology,"B2C, B2B",26.08.23,744,73
21,Confidential,Data Analyst,Senior,technology,"B2C, B2B",12.09.23,336,106
22,Seeking Alpha,Data Analyst,Senior,technology,B2C,19.09.23,168,185
23,Lumen,Data Analyst,Senior,technology,B2C,12.09.23,336,115
24,Playstudios Israel,Data Analyst,Senior,technology,B2C,19.09.23,168,55
25,HoneyBook,Data Analyst,Senior,technology,"B2C, B2B",12.09.23,336,587
26,Discount Bank,Data Analyst,Mid-Senior,capital,"B2C, B2B",05.09.23,504,252
27,Intelligent Business,BI Analyst,Mid ,consulting,B2B,26.07.23,1464,437
28,Flare,Data Analyst,Senior,technology,"B2C, B2B",19.09.23,168,140
29,Lemonade,Product Analyst,Mid-Senior,technology,"B2C, B2B",19.09.23,168,155
30,Shamir Optical Industry,Data Analyst,Senior,manufacturing,B2B,12.09.23,336,23
31,Arpeely,Data Analyst,Senior,technology,B2B,12.09.23,336,120
32,SodaStream,BI Analyst,Mid-Senior,manufacturing,"B2C, B2B",12.09.23,336,70
33,Wenrix,Data Analyst,Mid-Senior,technology,B2B,26.08.23,744,478
34,Melio,Data Analyst,Senior,technology,B2B,26.08.23,744,354
35,Agoda,Analyst,Senior,technology,B2C,19.09.23,168,63
