Date,Other_service_activities,Arts_entertainment_and_recreation,Homan_health_and_social_work_activities,Education,Local_public_and_fefence__administration_and_social_security_and_Extraterritorial_organizations_and_bodies,Administrative_and_support_service_activities,Professional_scientific_and_technical_activities,Real_estate_activities,Financial_and_insurance_activities,Information_and_communication,Accomodation_and_food_service_activities,Transportation_storage_postal_and_courier_activities,wholesale_and_retail_trade_and_repair_of_motor_vehicles,Construction,Electricity_and_water_supply_sewerage_and_waste_management,Manufacturing,Mining_and_quarrying,Agriculture_forestry_and_fishing,Total_Economy,,,,
"January, 2022",128.2,73.1,540.6,559.1,144.5,266.7,266.8,31.5,108.2,237.0,243.4,146.2,511.0,203.4,32.8,353.2,4.6,47.5,"3,897.8",,,,
"February, 2022",129.6,75.0,541.8,559.1,144.8,269.5,267.6,31.8,108.7,240.8,250.4,146.2,514.1,204.7,32.7,354.1,4.6,47.6,"3,923.0",,,,
"March, 2022",132.7,71.7,540.9,558.5,144.5,267.9,268.6,32.0,109.3,243.8,243.0,147.4,514.5,205.5,32.8,355.4,4.6,47.3,"3,920.6",,,,
"April, 2022",133.7,72.2,542.9,560.0,145.2,269.1,268.9,32.6,109.6,246.2,234.8,147.0,515.0,206.8,32.9,356.0,4.7,47.5,"3,925.1",,,,
"May, 2022",134.8,72.5,547.0,563.8,144.9,279.4,270.1,32.9,110.1,248.2,226.1,148.0,515.8,207.8,32.9,356.6,4.7,47.6,"3,943.1",,,,
"June, 2022",135.2,70.2,547.3,561.0,145.0,272.5,269.9,33.4,111.4,247.0,222.0,148.3,515.5,210.7,32.9,356.5,4.7,47.5,"3,931.0",,,,
"July, 2022",136.5,69.3,547.5,563.6,145.5,270.3,271.2,32.9,110.4,249.0,211.6,147.0,513.8,208.4,33.0,355.8,4.7,47.1,"3,917.7",,,,
"August, 2022",135.9,71.7,549.1,561.3,146.2,270.6,272.1,33.3,111.1,250.2,217.0,148.1,514.6,209.4,33.0,356.3,4.7,46.8,"3,931.6",,,,
"September, 2022",140.5,75.8,553.9,567.4,146.1,271.1,274.2,33.5,111.3,252.1,225.5,147.5,514.1,209.4,33.0,356.7,4.7,46.9,"3,963.8",,,,
"October, 2022",135.2,75.9,554.0,569.5,145.7,270.6,274.4,33.3,111.5,252.6,235.3,147.6,515.7,209.4,32.9,356.8,4.7,46.6,"3,971.6",,,,
"November, 2022",134.9,78.4,555.5,572.3,145.3,272.4,274.8,33.0,111.6,254.1,249.4,148.1,518.2,209.2,32.9,357.0,4.8,46.6,"3,998.5",,,,
"December, 2022",136.5,77.3,557.6,574.8,144.9,269.3,275.6,33.1,111.7,253.4,261.0,148.1,522.6,209.9,33.0,356.9,4.7,46.4,"4,017.0",,,,
"January, 2023",135.9,79.7,562.6,581.5,145.3,272.8,277.1,33.5,112.9,249.5,270.3,148.9,520.7,212.2,33.1,357.1,4.7,47.6,"4,045.4",,,,
"February, 2023",136.9,80.2,561.8,579.1,145.4,271.8,276.6,33.7,112.7,251.1,269.1,149.2,519.6,211.3,33.1,355.7,4.7,46.7,"4,038.6",,,,
"March, 2023",140.6,75.5,558.3,581.2,146.0,271.4,276.3,33.7,112.5,250.5,255.7,149.5,517.7,210.0,33.2,354.9,4.7,47.1,"4,018.6",,,,
"April, 2023",140.3,75.3,560.4,578.1,145.2,268.7,276.3,33.3,111.8,250.8,240.8,149.3,513.9,208.8,33.1,354.1,4.7,46.9,"3,991.8",,,,
"May, 2023",141.1,73.6,567.7,580.7,146.5,271.9,275.3,33.2,112.7,250.4,235.0,150.7,515.1,209.5,33.2,354.9,4.7,46.8,"4,003.1",,,,
"June, 2023",141.3,72.3,568.7,585.3,146.4,268.3,275.7,32.9,113.0,251.4,227.2,149.9,510.2,208.0,33.3,353.4,4.7,46.8,"3,988.9",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
