id,company,position,level,sphere,date_post,in_hours,appliers
1,Shva,Product Data Manager,Mid-Senior,Finatech,28.09.23,96,94
2,Oddity,Product Manager,Mid-Senior,Technology,02.07.23,2184,1110
3,WxinSys,Product Manager,Mid-Senior,Manufacturing,28.08.23,1464,291
4,GTHW Software,Product Manager,Mid-Senior,Software Development,28.08.23,1464,615
5,888holdings,Onboarding Product Manager,Mid-Senior,Entertainment,02.10.23,1,37
6,Ibex Medical Analytics,Product Manager,Mid-Senior,Health Care,27.09.23,120,165
7,Fijaya LTD,Product Manager,Mid-Senior,Brokers,28.09.23,96,73
8,Tomax- Think Academy,Product Manager,Mid-Senior,Education,02.09.23,720,213
9,UNKJD,Product Manager,Senior,Gaming,18.09.23,336,159
10,Ecoplant,Product Manager,Senior,Software Development,02.09.23,720,356
11,Similarweb,Product Manager,Mid-Senior,Market Research,25.09.23,168,334
12,GlassesUSA.com,Product & Soursing Manager,Mid-Senior,Retail,02.09.23,720,110
13,Confidential,Product Team Manager,Senior,It Services and IT Consulting,25.09.23,168,107
14,eToro,Growth Product manager,Mid-Senior,Financial Services,18.09.23,336,56
15,GK8,Product Manager,Mid-Senior,Software Development,30.09.23,72,78
16,Gotfriends,Product Manager,Mid-Senior,Staffing and Recruiting,25.09.23,168,169
17,Unity,Product Manager,Mid-Senior,Software Development,25.09.23,168,108
18,Global-e,Payments Product Manager,Mid-Senior,Technology,25.09.23,168,163
19,Trust Wallet,Product Manager,Mid-Senior,Software Development,01.10.23,24,355
20,Wix,Technical Product Manager,Mid-Senior,Software Development,27.09.23,120,60
21,Supersonic from Unity,Product Manager,Mid-Senior,Gaming,28.09.23,96,353
22,Redis,Principal Growth Product Manager,Senior,Software Development,30.09.23,72,244
23,Payoneer,Product Manager,Mid-Senior,Finatech,25.09.23,168,100
24,Unity,ML Product Manager,Mid-Senior,Software Development,25.09.23,168,222
25,NICE,Product Manager,Mid-Senior,Software Development,30.09.23,48,30
26,Melio,Technical Product Manager,Mid-Senior,Finatech,18.09.23,336,89
27,Pango,Product Manager,Mid-Senior,Consumer Services,02.08.23,744,583
28,Autodesk,Product Manager,Mid-Senior,Software Development,25.09.23,168,254
29,Wix,Product Manager,Mid-Senior,Software Development,30.09.23,72,23
30,Wiz,Product Manager,Mid-Senior,Computer and Network Security,18.09.23,336,352
31,Varonis,Product Manager,Mid-Senior,Software Development,25.09.23,168,433
32,Malwarebytes,Product Manager,Entry,Computer and Network Security,30.09.23,48,243
33,Meta,Product Manager,Mid-Senior,Software Development,26.09.23,146,93
34,Cato Networks,Product Manager,Mid-Senior,Computer and Network Security,25.09.23,168,85
35,NetApp,Product Manager,Mid-Senior,It Services and IT Consulting,28.09.23,120,145
36,Supersonic from Unity,Casualt Product Manager,Mid-Senior,Gaming,26.09.23,146,460
37,Lumen,Product Growth Manager,Mid-Senior,Wellness and Fitness Services,11.09.23,504,542
38,HiredScore,Product Manager,Mid-Senior,Software Development,25.09.23,168,345
39,Naturam Intelligence,Product Manager,Mid-Senior,Software Development,02.07.23,2184,263
40,Melio,Product Manager,Senior,Finatech,25.09.23,168,543
41,Armis,Product Manager,Senior,Computer and Network Security,27.09.23,120,37
42,Simply,Product Manager Team Lead,Senior,Software Development,01.10.23,24,78
43,Global-e,Product Manager,Mid-Senior,Technology,28.09.23,96,12
44,Hello Heart,Product Manager,Senior,Wellness and Fitness Services,25.09.23,168,358
45,Commit,Product Manager,Mid-Senior,Software Development,02.09.23,720,22
46,morning by Green Invoice,Data Product Manager,Mid-Senior,Finatech,25.09.23,168,73
47,Placer.ai,Product Manager,Senior,Software Development,30.09.23,72,479
48,Via,Product Manager,Mid-Senior,Software Development,28.09.23,120,521
49,Transmit Serucity,Product Manager,Mid-Senior,Software Development,30.09.23,48,70
50,PLAYSTUDIOS ISRAEL,Product Manager,Mid-Senior,Gaming,02.09.23,720,156
51,Pendo.io,Product Manager,Senior,Software Development,30.09.23,48,251
52,AT&T Israel R&D Center,Product Manager,Mid-Senior,Software Development,29.09.23,72,37
53,Tap,Mobile Product Manager,Mid-Senior,Software Development,02.08.23,744,399
54,Forter,Product Manager,Senior,Software Development,30.09.23,48,98
55,Daisy,Product Manager,Mid-Senior,Customer Service,02.07.23,2184,221
56,Faye,Product Manager,Mid-Senior,Insurance,18.09.23,336,210
57,Priority Software,Product Manager,Entry,Software Development,27.09.23,120,53
58,BigID,Product Manager,Senior,Software Development,25.09.23,168,293
59,Yopto,Product Manager,Senior,Technology,27.09.23,120,287
60,Commit,Product Manager,Mid-Senior,Software Development,18.09.23,336,65
61,MAËLYS,Product Manager,Mid-Senior,Manufacturing,02.09.23,720,214
62,Tonkean,Product Manager,Mid-Senior,Software Development,02.09.23,720,41
63,FireArc,Product Manager,Mid-Senior,Technology,02.09.23,720,128
64,Anyword,Product Manager,Senior,Software Development,25.09.23,168,278
65,Guardio,Product Manager,Mid-Senior,Computer and Network Security,02.08.23,744,78
